country,brand_name,ther_area,hospital_rate,main_package,biological,small_molecule
COUNTRY_PHARMACY_ID,AI-0001,suppos,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0002,Kifa,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0003,Kifa,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0004,Kifa,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0005,Biof,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0006,Ifar,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0007,Acta,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0008,Acta,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0009,Acta,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0010,Acta,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0011,Acta,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0012,Acta,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0013,Acta,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0014,Acta,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0015,Boeh,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0016,Acta,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0017,Acta,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0018,Take,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0019,Take,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0020,Novo,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0021,Novo,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0022,Novo,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0023,Novo,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0024,Infa,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0025,Hexp,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0026,Bayr,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0027,Bayr,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0028,Tana,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0029,Tana,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0030,Dexa,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0031,Dexa,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0032,Phap,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0033,Phar,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0034,Phar,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0035,Graf,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0036,Graf,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0037,Graf,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0038,Graf,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0039,Take,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0040,Glax,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0041,Mola,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0042,Erla,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0043,Hexp,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0044,Acta,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0045,Acta,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0046,Otto,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0047,Otto,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0048,Mers,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0049,Infa,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0050,Infa,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0051,Sand,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0052,Sand,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0053,Dexa,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0054,Dexa,,INJECTION,False,True
COUNTRY_PHARMACY_ID,AI-0055,Infa,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0056,"Zn,",,Others,False,True
COUNTRY_PHARMACY_ID,AI-0057,"Zn,",,Others,False,True
COUNTRY_PHARMACY_ID,AI-0058,Kalb,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0059,Kalb,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0060,"dll,",,Others,False,True
COUNTRY_PHARMACY_ID,AI-0061,btl,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0062,Bbmi,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0063,Mari,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0064,"Mine,",,Others,False,True
COUNTRY_PHARMACY_ID,AI-0065,Otsu,,Others,False,True
COUNTRY_PHARMACY_ID,AI-0066,Infa,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0067,Hexp,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0068,Hexp,,PILL,False,True
COUNTRY_PHARMACY_ID,AI-0069,P-Hexp,,PILL,False,True
