2025-11-29 17:05:12,107 - __main__ - INFO - Starting experiment: 2025-11-29_17-05_arihow_scenario2
2025-11-29 17:05:12,155 - __main__ - INFO - Config snapshot saved to /Users/armanfeili/code/New Projects/novartis_datathon_2025/artifacts/2025-11-29_17-05_arihow_scenario2/configs (hash: 3afb31a0)
2025-11-29 17:05:12,155 - __main__ - INFO - Config hash: 3afb31a0
2025-11-29 17:05:12,176 - src.utils - INFO - [Load features (cached)] starting...
2025-11-29 17:05:12,176 - src.utils - INFO - [Load cached features for train S2 train] starting...
2025-11-29 17:05:12,176 - src.features - INFO - Loading cached features from /Users/armanfeili/code/New Projects/novartis_datathon_2025/data/processed/features_train_s2_train.parquet
2025-11-29 17:05:12,264 - src.features - INFO - Loaded X: (35154, 99), y: 35154
2025-11-29 17:05:12,264 - src.utils - INFO - [Load cached features for train S2 train] done in 0.088s
2025-11-29 17:05:12,280 - src.utils - INFO - [Load cached train panel] starting...
2025-11-29 17:05:12,281 - src.data - INFO - Loading cached panel from /Users/armanfeili/code/New Projects/novartis_datathon_2025/data/interim/panel_train.parquet
2025-11-29 17:05:12,297 - src.data - INFO - Loaded 93,744 rows, 19 columns
2025-11-29 17:05:12,297 - src.utils - INFO - [Load cached train panel] done in 0.017s
2025-11-29 17:05:12,299 - src.utils - INFO - [Load features (cached)] done in 0.122s
2025-11-29 17:05:12,300 - src.utils - INFO - [Create validation split] starting...
2025-11-29 17:05:12,325 - src.validation - WARNING - Grouping 1 rare stratification classes (< 195 series) into 'OTHER'
2025-11-29 17:05:12,424 - src.validation - INFO - Train series: 1562, Val series: 391
2025-11-29 17:05:12,424 - src.validation - INFO - Train rows: 28,116, Val rows: 7,038
2025-11-29 17:05:12,426 - src.validation - INFO - Train bucket distribution:
bucket
2    0.933419
1    0.066581
2025-11-29 17:05:12,427 - src.validation - INFO - Val bucket distribution:
bucket
2    0.933504
1    0.066496
2025-11-29 17:05:12,427 - src.utils - INFO - [Create validation split] done in 0.127s
2025-11-29 17:05:12,459 - __main__ - INFO - Features: 101 columns
2025-11-29 17:05:12,459 - __main__ - INFO - Meta: 9 columns
2025-11-29 17:05:12,467 - __main__ - INFO - Features: 101 columns
2025-11-29 17:05:12,467 - __main__ - INFO - Meta: 9 columns
2025-11-29 17:05:12,620 - __main__ - INFO - Sample weights - min: 0.63, max: 3.13, mean: 1.00
2025-11-29 17:05:12,637 - src.utils - INFO - [Train arihow for scenario 2] starting...
2025-11-29 17:05:12,763 - src.models.arihow - INFO - Fitting ARIHOW models for 1562 brands...
2025-11-29 17:06:19,032 - src.models.arihow - INFO - ARIHOW fitting complete: 1562/1562 brands successful
2025-11-29 17:06:19,034 - src.utils - INFO - [Train arihow for scenario 2] done in 66.397s
2025-11-29 17:06:19,062 - src.models.arihow - WARNING - Brand ('COUNTRY_0024', 'BRAND_1865') not in fitted models, using fallback
2025-11-29 17:06:19,067 - src.models.arihow - WARNING - Brand ('COUNTRY_0024', 'BRAND_467B') not in fitted models, using fallback
2025-11-29 17:06:19,071 - src.models.arihow - WARNING - Brand ('COUNTRY_0024', 'BRAND_562D') not in fitted models, using fallback
2025-11-29 17:06:19,077 - src.models.arihow - WARNING - Brand ('COUNTRY_0024', 'BRAND_568F') not in fitted models, using fallback
2025-11-29 17:06:19,084 - src.models.arihow - WARNING - Brand ('COUNTRY_0024', 'BRAND_77F6') not in fitted models, using fallback
2025-11-29 17:06:19,089 - src.models.arihow - WARNING - Brand ('COUNTRY_0024', 'BRAND_8CF3') not in fitted models, using fallback
2025-11-29 17:06:19,095 - src.models.arihow - WARNING - Brand ('COUNTRY_0024', 'BRAND_A999') not in fitted models, using fallback
2025-11-29 17:06:19,103 - src.models.arihow - WARNING - Brand ('COUNTRY_0024', 'BRAND_DB48') not in fitted models, using fallback
2025-11-29 17:06:19,108 - src.models.arihow - WARNING - Brand ('COUNTRY_0024', 'BRAND_ED76') not in fitted models, using fallback
2025-11-29 17:06:19,117 - src.models.arihow - WARNING - Brand ('COUNTRY_0024', 'BRAND_FA46') not in fitted models, using fallback
2025-11-29 17:06:19,123 - src.models.arihow - WARNING - Brand ('COUNTRY_01A1', 'BRAND_52CE') not in fitted models, using fallback
2025-11-29 17:06:19,128 - src.models.arihow - WARNING - Brand ('COUNTRY_01A1', 'BRAND_C967') not in fitted models, using fallback
2025-11-29 17:06:19,135 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_26FA') not in fitted models, using fallback
2025-11-29 17:06:19,141 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_3433') not in fitted models, using fallback
2025-11-29 17:06:19,145 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_3CB9') not in fitted models, using fallback
2025-11-29 17:06:19,153 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_41B7') not in fitted models, using fallback
2025-11-29 17:06:19,157 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_52CE') not in fitted models, using fallback
2025-11-29 17:06:19,162 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_64B8') not in fitted models, using fallback
2025-11-29 17:06:19,166 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_7BCC') not in fitted models, using fallback
2025-11-29 17:06:19,174 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_85A3') not in fitted models, using fallback
2025-11-29 17:06:19,178 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_9671') not in fitted models, using fallback
2025-11-29 17:06:19,185 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_9D16') not in fitted models, using fallback
2025-11-29 17:06:19,190 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_A4D1') not in fitted models, using fallback
2025-11-29 17:06:19,194 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_AB82') not in fitted models, using fallback
2025-11-29 17:06:19,204 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_BECC') not in fitted models, using fallback
2025-11-29 17:06:19,208 - src.models.arihow - WARNING - Brand ('COUNTRY_0309', 'BRAND_D72F') not in fitted models, using fallback
